display  D   display_settings.c:529  _al_score_display_settings       [   0.32928] Score is : 1921
display  I           wgl_disp.c:741  get_available_pixel_formats_ext  [   0.32930] -- 
display  I           wgl_disp.c:742  get_available_pixel_formats_ext  [   0.32933] Decoding visual no. 10...
display  I           wgl_disp.c:306  decode_pixel_format_attrib       [   0.32961] Decoding:
display  I           wgl_disp.c:210  display_pixel_format             [   0.32964] Accelerated: yes
display  I           wgl_disp.c:211  display_pixel_format             [   0.32965] Single-buffer: no
display  I           wgl_disp.c:213  display_pixel_format             [   0.32966] Swap method: flip
display  I           wgl_disp.c:216  display_pixel_format             [   0.32967] Color format: r8 g8 b8 a8, 32 bit
display  I           wgl_disp.c:222  display_pixel_format             [   0.32968] Depth buffer: 24 bits
display  I           wgl_disp.c:223  display_pixel_format             [   0.32970] Sample buffers: no
display  I           wgl_disp.c:224  display_pixel_format             [   0.32972] Samples: 0
display  D   display_settings.c:214  debug_display_settings           [   0.32974] color: 32 (rgba 8888), depth: 24, stencil: 0, acc: 16161616, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.32975] Score is : 1921
display  I           wgl_disp.c:741  get_available_pixel_formats_ext  [   0.32976] -- 
display  I           wgl_disp.c:742  get_available_pixel_formats_ext  [   0.32978] Decoding visual no. 11...
display  I           wgl_disp.c:306  decode_pixel_format_attrib       [   0.32990] Decoding:
display  I           wgl_disp.c:210  display_pixel_format             [   0.32993] Accelerated: yes
display  I           wgl_disp.c:211  display_pixel_format             [   0.32995] Single-buffer: no
display  I           wgl_disp.c:213  display_pixel_format             [   0.32996] Swap method: flip
display  I           wgl_disp.c:216  display_pixel_format             [   0.32998] Color format: r8 g8 b8 a0, 32 bit
display  I           wgl_disp.c:222  display_pixel_format             [   0.33001] Depth buffer: 24 bits
display  I           wgl_disp.c:223  display_pixel_format             [   0.33003] Sample buffers: no
display  I           wgl_disp.c:224  display_pixel_format             [   0.33005] Samples: 0
display  D   display_settings.c:214  debug_display_settings           [   0.33007] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 16161616, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.33010] Score is : 1921
display  I           wgl_disp.c:741  get_available_pixel_formats_ext  [   0.33012] -- 
display  I           wgl_disp.c:742  get_available_pixel_formats_ext  [   0.33014] Decoding visual no. 12...
display  I           wgl_disp.c:306  decode_pixel_format_attrib       [   0.33031] Decoding:
display  I           wgl_disp.c:210  display_pixel_format             [   0.33033] Accelerated: yes
display  I           wgl_disp.c:211  display_pixel_format             [   0.33034] Single-buffer: no
display  I           wgl_disp.c:213  display_pixel_format             [   0.33035] Swap method: flip
display  I           wgl_disp.c:216  display_pixel_format             [   0.33038] Color format: r8 g8 b8 a8, 32 bit
display  I           wgl_disp.c:222  display_pixel_format             [   0.33041] Depth buffer: 24 bits
display  I           wgl_disp.c:223  display_pixel_format             [   0.33051] Sample buffers: no
display  I           wgl_disp.c:224  display_pixel_format             [   0.33053] Samples: 0
display  D   display_settings.c:214  debug_display_settings           [   0.33055] color: 32 (rgba 8888), depth: 24, stencil: 8, acc: 16161616, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.33058] Score is : 1921
display  I           wgl_disp.c:741  get_available_pixel_formats_ext  [   0.33060] -- 
display  I           wgl_disp.c:742  get_available_pixel_formats_ext  [   0.33061] Decoding visual no. 13...
display  I           wgl_disp.c:306  decode_pixel_format_attrib       [   0.33072] Decoding:
display  I           wgl_disp.c:210  display_pixel_format             [   0.33074] Accelerated: yes
display  I           wgl_disp.c:211  display_pixel_format             [   0.33076] Single-buffer: no
display  I           wgl_disp.c:213  display_pixel_format             [   0.33077] Swap method: flip
display  I           wgl_disp.c:216  display_pixel_format             [   0.33079] Color format: r8 g8 b8 a0, 32 bit
display  I           wgl_disp.c:222  display_pixel_format             [   0.33081] Depth buffer: 0 bits
display  I           wgl_disp.c:223  display_pixel_format             [   0.33083] Sample buffers: no
display  I           wgl_disp.c:224  display_pixel_format             [   0.33084] Samples: 0
display  D   display_settings.c:214  debug_display_settings           [   0.33086] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 16161616, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.33088] Score is : 1921
display  I           wgl_disp.c:741  get_available_pixel_formats_ext  [   0.33090] -- 
display  I           wgl_disp.c:742  get_available_pixel_formats_ext  [   0.33092] Decoding visual no. 14...
display  I           wgl_disp.c:306  decode_pixel_format_attrib       [   0.33102] Decoding:
display  I           wgl_disp.c:210  display_pixel_format             [   0.33104] Accelerated: yes
display  I           wgl_disp.c:211  display_pixel_format             [   0.33106] Single-buffer: no
display  I           wgl_disp.c:213  display_pixel_format             [   0.33107] Swap method: flip
display  I           wgl_disp.c:216  display_pixel_format             [   0.33109] Color format: r8 g8 b8 a8, 32 bit
display  I           wgl_disp.c:222  display_pixel_format             [   0.33110] Depth buffer: 0 bits
